Empregados - demissões - Novo Caged sem ajuste;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sigla;Código;Estado;2023.01;2023.02;2023.03;2023.04;2023.05;2023.06;2023.07;2023.08;2023.09;2023.10;2023.11;2023.12;2024.01;2024.02;2024.03;2024.04;2024.05;2024.06;2024.07;2024.08;2024.09;2024.10;2024.11;2024.12;2025.01;2025.02;2025.03;2025.04;2025.05;2025.06;2025.07;2025.08;2025.09;2025.10;2025.11;2025.12;2026.01;2026.02;2026.03;2026.04;2026.05;2026.06
AC;12;Acre;4285;3360;4172;3503;3946;3383;3472;3958;3444;3788;3547;3825;3972;3945;3820;3827;3786;3499;4206;4140;3687;4509;4277;3751;4550;4776;4456;3900;4398;4216;4374;4124;3723;4372;4629;3755;4702;4894;4659;4210;3932;4318
AL;27;Alagoas;13402;11478;14824;16210;21434;12084;11436;13378;11283;11420;11748;10914;13324;16021;24454;17285;13146;11915;13679;15274;13548;14399;13443;14938;16700;21820;22534;15832;15496;12637;14283;15685;13859;14847;12958;14350;17298;18554;23192;18001;15329;13766
AM;13;Amazonas;18949;16668;18087;16533;18304;17948;17488;18500;16836;17392;17046;18247;20528;18038;19451;20111;19908;18808;21298;21922;21809;23621;20256;23088;25339;24619;23430;23128;24192;22334;25256;24218;22881;23974;20632;24208;24311;22727;24849;23554;23455;22999
AP;16;Amapá;3235;2838;3248;2426;2998;2769;2818;3027;2825;3260;2948;3582;3019;3659;3239;2876;3279;3107;3681;3272;3250;3689;3083;3775;3733;3850;3657;3106;3946;3316;3673;3749;3709;3835;3534;4336;4043;3806;4249;3723;4303;4201
BA;29;Bahia;65580;60843;72703;63133;66761;62880;67397;70712;62606;65989;63601;75733;68568;72950;74292;73590;74197;68293;74209;73629;68480;82789;69503;80409;80223;79461;80959;75833;77753;70466;79273;78736;76018;85385;71670;83399;78415;80037;83198;82363;83016;78342
CE;23;Ceará;47632;38814;42808;38395;42781;41488;41107;43344;39919;41480;40546;38806;46556;44591;42944;44851;45299;45396;51375;48137;45377;50569;44906;42808;54265;53727;50579;46931;50438;48649;52971;53840;52307;55288;45284;47528;54016;50468;53519;53048;54493;55081
DF;53;Distrito Federal;32937;29244;31177;26039;31842;30557;30767;33340;29968;30679;29142;33250;32650;32302;32855;33026;34508;32366;35190;35575;33328;36597;31647;38833;35706;36693;35615;32082;37132;34865;37793;37378;38455;37963;32115;38445;37369;36527;39028;36646;38657;36680
ES;32;Espírito Santo;37947;35642;42008;34361;40335;41945;40176;43474;35910;37717;37905;41170;40283;41104;43066;43805;45623;45196;49905;46151;40672;44451;41728;41856;46731;48640;46421;44301;48541;49381;51957;47043;44826;49313;40386;44409;45915;46943;49048;47023;49156;50786
GO;52;Goiás;67099;63409;72542;65855;71901;71814;68576;74270;69920;73807;76332;73053;71313;72749;75091;78154;81377;73535;77705;78037;74138;82306;75834;81400;80663;77540;81630;77655;84546;74862;80957;81694;79724;86212;79634;83044;77981;75726;84686;83695;84069;77948
MA;21;Maranhão;18529;17166;18823;16301;17881;18685;18346;20507;18603;18579;18400;18501;20777;20612;19335;19238;20207;18797;20410;20852;18699;21656;19889;22803;23083;22793;20605;19234;20514;20168;21310;22113;21871;21709;19340;21394;21807;22061;24542;22126;22497;20808
MG;31;Minas Gerais;196442;189634;216896;186452;209548;196071;200111;217765;195873;203127;198258;208925;208347;211434;217656;225754;225209;203602;230675;225579;213964;229691;203482;227228;232341;230581;227191;214425;230012;213327;238840;231930;228026;235828;207417;228443;218376;217838;235520;229800;230731;218362
MS;50;Mato Grosso do Sul;28755;28304;33374;28759;31003;28921;29750;32468;29855;28957;29619;31551;31811;33056;35134;35265;31956;31288;33653;32401;31360;32561;30673;37196;33687;33005;35969;31913;32585;30950;33372;32848;33397;33760;30114;33368;33417;33916;37144;35195;33016;31956
MT;51;Mato Grosso;43483;45160;52802;44353;49220;44661;46655;50237;47245;48310;48913;50577;48553;52109;54152;53678;51676;48029;52270;51046;50030;52645;51677;54967;51093;52931;57354;51494;52927;49178;52542;53146;53061;55553;50820;57013;51090;54155;60103;54994;52892;50489
PA;15;Pará;35147;29364;33740;29269;31720;32905;31300;35650;31484;32338;34179;37230;35353;34228;37775;36417;37824;34374;37312;38085;33939;37789;35029;40032;40456;37715;38356;37137;39923;37308;40464;40204;38443;42999;37067;44374;41002;38757;42445;39621;39461;39451
PB;25;Paraíba;16237;14473;18041;17141;14367;14831;13970;14502;13573;13028;12820;13458;16907;17876;18623;18191;15772;14609;17248;16198;15771;17404;15801;15203;21821;21603;20442;19210;19142;19323;20490;19066;18336;19448;16387;17380;21261;22651;23413;20320;19795;19431
